Ip,Ton,Toff,Vs,MRR,SR,Surrogate
20,110,58,221,7.771147143301037,1.960241791017325,RF
30,115,50,237,8.792356321810065,2.9823842325396828,RF
20,110,59,224,7.886817617424608,1.9622676160173247,RF
20,110,59,222,7.823302248335673,1.9610742243506587,RF
30,113,50,237,8.735350404243148,2.8849159376984095,RF
20,111,60,231,7.9518367356177855,2.0212716698412656,RF
24,111,60,229,8.332114001833856,2.420453169566542,RF
23,110,60,234,8.251137609351177,2.292354352319901,RF
20,115,60,235,8.154496512260643,2.21689015295538,RF
20,114,60,236,8.145120944843978,2.1624100285714216,RF
23,111,60,230,8.27010492810713,2.3441794876623434,RF
20,110,60,234,7.9499540081661255,1.9716595255411336,RF
24,110,60,236,8.331673291249084,2.3698126263347787,RF
27,114,50,232,8.739258313379144,2.9355340615079344,RF
20,112,59,231,7.962021398275798,2.064262602380961,RF
23,112,51,236,8.384469217758653,2.4690008009018887,RF
20,111,60,234,7.958826667463745,2.023718707936504,RF
25,113,60,237,8.52143217297817,2.59562973015873,RF
22,111,60,237,8.220324199998007,2.2571197716089486,RF
20,113,60,227,8.084693936690844,2.127483765800861,RF
24,110,60,228,8.283862959623725,2.353324731024531,RF
23,110,60,230,8.231742747392305,2.2843146761294237,RF
30,113,60,240,8.669721595059357,2.724565813095231,RF
30,114,60,230,8.67063024240784,2.7625956063492003,RF
21,110,60,240,8.049798199329173,2.09553724444444,RF
27,113,59,233,8.5887712368272,2.687350875974019,RF
20,110,59,221,7.783728801573225,1.960560957683992,RF
20,113,60,233,8.115830499413065,2.1278070574675283,RF
25,114,60,234,8.522987294583327,2.6304108535714255,RF
30,113,50,229,8.712972421374095,2.877503348412694,RF
24,110,60,231,8.318819983020909,2.3571509604617624,RF
26,113,60,237,8.576721147667937,2.6588011801587226,RF
20,113,59,233,8.067315213676233,2.1256368419913385,RF
27,113,50,237,8.71170361237356,2.849029246428571,RF
20,110,59,230,7.925725937083334,1.963337732683991,RF
27,113,60,228,8.582550152041655,2.6811535132756052,RF
27,113,60,230,8.618977560440303,2.6877609898629076,RF
21,113,60,228,8.162753632503414,2.245037229365068,RF
25,110,60,234,8.366469111939603,2.4403762559523874,RF
20,113,60,235,8.132701135254692,2.132652901911972,RF
20,116,60,238,8.156377758911436,2.22603542261905,RF
27,113,50,229,8.692019886991343,2.8309267632395363,RF
24,111,60,236,8.342020760437034,2.4268786552808286,RF
21,113,60,234,8.2033835566423,2.2460173218253856,RF
23,112,50,240,8.436020765576835,2.512189904870137,RF
27,113,50,230,8.69624364615801,2.8462703900793627,RF
30,115,60,237,8.68908808655359,2.806496736904764,RF
20,110,59,225,7.9008568273511965,1.9628242160173244,RF
28,110,60,231,8.479203316946425,2.5478231341269844,RF
20,110,58,222,7.8084216638372945,1.9607550576839916,RF
23,112,50,236,8.433081587172072,2.511885004870137,RF
27,110,60,230,8.456035174005946,2.5150463198412725,RF
21,113,60,231,8.180834372033177,2.245781205158719,RF
29,110,60,230,8.489656365045633,2.5485382313131315,RF
23,110,60,231,8.246321801880939,2.28481309279609,RF
27,113,60,240,8.63080638484705,2.6943012553390986,RF
25,113,60,234,8.507880659525789,2.585228387301588,RF
28,113,60,231,8.648296161744952,2.715115649206338,RF
27,110,60,231,8.465730406880947,2.5178793126984145,RF
24,110,60,234,8.329806554600273,2.362104443001445,RF
24,112,60,238,8.43180062179743,2.493236146428573,RF
30,114,60,237,8.68409403617859,2.782497461630036,RF
20,114,60,235,8.143790240082073,2.1517809278138462,RF
30,110,60,233,8.501181677307542,2.5717184667027424,RF
25,110,60,230,8.36058728424714,2.433848135786442,RF
20,113,59,234,8.072676842997662,2.1258780705627673,RF
29,110,60,231,8.49807310590873,2.550924040836941,RF
21,113,60,230,8.167364248515318,2.2453178944444327,RF
23,114,60,230,8.392806353163465,2.479848199603176,RF
20,112,60,234,7.9825016478625574,2.0667390440476274,RF
30,114,50,236,8.787110971385461,2.9615774964285704,RF
21,110,58,231,8.000563833908531,2.0829470083333277,RF
26,113,60,228,8.537845180411672,2.6430378329364976,RF
26,113,60,229,8.552856670086578,2.6457727071428474,RF
21,110,59,231,8.020720884317265,2.0837143345238043,RF
27,110,60,232,8.466021627089281,2.525841424603176,RF
24,112,60,233,8.410218450001794,2.4851557630952392,RF
28,114,50,236,8.763011340753426,2.9506697246031712,RF
24,112,60,228,8.389041797795628,2.477536946428573,RF
30,110,60,231,8.499894457099208,2.557206614430017,RF
30,114,50,237,8.79071736336959,2.969666928968252,RF
25,113,60,233,8.503828328956342,2.5827666134920646,RF
24,110,60,233,8.322495028219322,2.3583033080808105,RF
30,114,60,234,8.677577162286811,2.7757442402014636,RF
21,110,59,226,8.005608352739886,2.0835055559523754,RF
21,110,59,233,8.02218128171409,2.084490280952376,RF
30,115,60,235,8.68809579380359,2.7971062666666677,RF
30,114,50,233,8.78302139491721,2.9589625071428545,RF
24,112,60,229,8.405389047722032,2.4799521416666686,RF
27,114,50,233,8.750755224102633,2.9355643091269816,RF
26,113,60,230,8.566432555906031,2.6472108071428475,RF
29,113,50,236,8.722078068032285,2.881542307142853,RF
24,113,60,238,8.478758489999633,2.5342760706349163,RF
22,111,60,230,8.207921224664677,2.2534744692279944,RF
25,114,60,235,8.530910806327377,2.636779344047617,RF
20,110,59,231,7.93250194989484,1.9643576064935144,RF
30,110,60,234,8.502254387724209,2.574835365512266,RF
21,110,59,240,8.041252060567263,2.090939368650789,RF
30,114,60,233,8.67591797781062,2.7689563230158694,RF
27,113,50,232,8.700471267618328,2.8479333436507916,RF
24,111,60,233,8.33583778768703,2.4237564600427337,RF
21,110,59,234,8.032238761321235,2.0877924924603124,RF
25,113,60,235,8.516424898567454,2.590982153968255,RF
23,111,60,234,8.283777438178562,2.347153762662344,RF
28,113,50,236,8.718424353558081,2.87854601428571,RF
23,112,51,240,8.386771355580084,2.469496967568556,RF
27,114,50,237,8.756676996477632,2.945514671825395,RF
20,113,60,236,8.134031840016597,2.144336508225103,RF
29,114,50,236,8.774710312128423,2.9584520654761883,RF
27,113,60,229,8.586590662880763,2.682067269227987,RF
27,114,50,236,8.754797530203822,2.940217134523808,RF
23,110,60,232,8.24669210063094,2.2911320427960913,RF
27,113,50,233,8.707541457861655,2.848314543650792,RF
20,110,60,233,7.94792860417803,1.9680643445887522,RF
24,113,60,237,8.478728028332968,2.5337234706349165,RF
